3,970
4,310
5,630
5,080
5,680
6,970
6,090
6,440
6,560
6,660
6,580
7,040
4,720
4,530
5,940
5,280
5,830
6,880
6,390
6,850
5,270
5,660
5,790
4,940
3,110
3,430
3,620
3,810
4,000
3,750
3,130
2,900
2,670
3,290
2,460
2,680
1,670
1,850
2,820
2,580
2,900
3,220
3,700
3,130
3,270
3,710
3,430
4,210
1,920
2,460
3,050
3,130
3,090
3,610
3,630
3,270
3,050
3,450
3,340
3,260
2,120
2,370
2,910
2,850
2,830
3,430
3,450
3,600
3,560
3,370
3,620
3,760
2,350
2,570
3,600
2,860
3,100
3,700
3,280
3,750
3,070
3,620
3,870
3,510
2,340
2,680
3,430
2,960
3,790
4,050
4,100
4,260
3,860
4,280
4,620
4,480
3,350
3,470
3,770
3,890
4,350
4,490
4,700
4,640
4,170
4,750
4,170
4,560
3,160
3,200
3,800
3,610
4,010
4,720
4,980
4,440
4,370
5,120
4,700
4,900
3,260
3,810
7,020
3,200
3,600
4,310
4,540
4,700
4,560
4,400
4,610
5,140
3,470
3,660
5,320
4,010
4,480
5,320
4,690
5,160
5,000
5,010
5,070
5,230
3,660
3,730
4,390
3,900
4,360
4,990
4,860
5,460
4,540
5,050
5,790
4,930
3,590
3,870
4,420
4,020
4,570
4,670
5,020
5,270
4,650
5,060
5,230
4,900
3,850
3,940
4,120
1,760
1,950
2,580
3,040
3,240
3,710
5,310
5,310
6,200
3,910
4,790
6,450
5,130
4,710
8,110
4,590
5,000
5,540
5,310
5,430
5,260
3,830
4,450
4,940
4,440
4,520
4,290
4,900
4,950
4,870
5,070
5,010
4,740
3,190
3,270
4,190
3,020
3,270
4,130
3,690
4,090
4,110
4,020
3,830
